Database,Count
PostgreSQL,12193
Redis,6384
SQLite,6295
MySQL,6204
MongoDB,5618
Microsoft SQL Server,4345
Elasticsearch,3665
MariaDB,3078
Dynamodb,2154
Supabase,1623
